date,close,open,high,low,volume,ticker,nearest_contract
2021-06-16,296.18,293.5,296.9,292.4,2770.0,N_2021,N_2021
2021-06-17,294.12,293.2,295.1,292.2,2090.0,N_2021,N_2021
2021-06-18,298.4,296.6,299.1,296.6,1442.0,N_2021,N_2021
2021-06-21,300.46000000000004,301.0,301.2,298.8,2694.0,N_2021,N_2021
2021-06-22,304.76,300.8,305.6,300.8,4148.0,N_2021,N_2021
2021-06-23,309.86,310.0,310.6,307.0,3066.0,N_2021,N_2021
2021-06-24,312.58000000000004,311.0,313.5,311.0,3334.0,N_2021,N_2021
2021-06-25,316.4,314.2,317.2,314.2,3140.0,N_2021,N_2021
2021-06-28,314.44,314.8,315.5,312.24,3920.0,N_2021,N_2021
2021-06-29,318.38,314.0,319.0,314.0,3516.0,N_2021,N_2021
2021-06-30,319.22,317.6,320.3,317.2,2538.0,N_2021,N_2021
2021-07-01,324.56,320.0,326.8,320.0,3832.0,Q_2021,Q_2021
2021-07-02,322.12,322.0,324.0,319.7,2396.0,Q_2021,Q_2021
2021-07-05,325.24,324.5,327.41999999999996,324.2,3504.0,Q_2021,Q_2021
2021-07-06,316.98,328.0,328.3,309.2,3930.0,Q_2021,Q_2021
2021-07-07,313.28,311.0,319.4,307.0,2934.0,Q_2021,Q_2021
2021-07-08,308.18,311.0,312.9,304.0,2434.0,Q_2021,Q_2021
2021-07-09,318.8,316.0,323.0,316.0,1784.0,Q_2021,Q_2021
2021-07-12,316.0,324.1,324.1,313.5,2610.0,Q_2021,Q_2021
2021-07-13,314.36,314.0,316.0,310.0,1992.0,Q_2021,Q_2021
2021-07-14,312.56,311.8,315.5,309.0,1702.0,Q_2021,Q_2021
2021-07-15,312.03999999999996,307.5,312.6,307.5,1576.0,Q_2021,Q_2021
2021-07-16,313.06,308.5,314.1,308.1,1920.0,Q_2021,Q_2021
2021-07-19,314.28,315.0,318.4,311.9,1716.0,Q_2021,Q_2021
2021-07-20,308.28,310.7,311.5,307.8,2764.0,Q_2021,Q_2021
2021-07-21,311.4,308.6,311.6,307.5,2296.0,Q_2021,Q_2021
2021-07-22,306.18,310.0,310.2,305.8,3926.0,Q_2021,Q_2021
2021-07-23,304.1,305.0,305.0,302.7,2970.0,Q_2021,Q_2021
2021-07-26,307.4,302.8,307.7,302.5,3216.0,Q_2021,Q_2021
2021-07-27,309.3,309.5,309.8,308.5,3454.0,Q_2021,Q_2021
2021-07-28,312.64,309.5,314.8,309.5,4310.0,Q_2021,Q_2021
2021-07-29,318.2,314.78,318.9,314.78,2942.0,Q_2021,Q_2021
2021-07-30,326.9,318.0,318.0,314.7,2250.0,Q_2021,Q_2021
2021-08-02,333.9,327.41999999999996,335.6,327.4,2290.0,U_2021,U_2021
2021-08-03,332.5,333.5,334.0,330.8,2050.0,U_2021,U_2021
2021-08-04,331.96000000000004,332.5,334.02,331.5,1962.0,U_2021,U_2021
2021-08-05,332.78,331.0,336.0,330.2,2990.0,U_2021,U_2021
2021-08-06,336.6,338.9,340.0,335.3,1838.0,U_2021,U_2021
2021-08-09,334.96000000000004,334.8,337.0,333.5,1888.0,U_2021,U_2021
2021-08-10,339.8,338.5,340.98,338.0,2264.0,U_2021,U_2021
2021-08-11,342.02,340.2,345.3,337.88,3428.0,U_2021,U_2021
2021-08-12,343.38,344.6,345.0,340.9,2250.0,U_2021,U_2021
2021-08-13,338.72,339.0,340.6,336.5,2596.0,U_2021,U_2021
2021-08-16,344.22,338.0,346.6,338.0,3030.0,U_2021,U_2021
2021-08-17,344.74,344.9,345.7,342.0,2900.0,U_2021,U_2021
2021-08-18,341.12,342.7,344.5,331.2,3398.0,U_2021,U_2021
2021-08-19,328.02,335.0,335.8,323.2,3666.0,U_2021,U_2021
2021-08-20,325.98,329.0,333.0,325.8,3612.0,U_2021,U_2021
2021-08-23,328.7,329.0,334.7,326.8,3832.0,U_2021,U_2021
2021-08-24,336.2,328.6,339.0,328.6,5040.0,U_2021,U_2021
2021-08-25,337.1,341.4,342.5,337.0,3684.0,U_2021,U_2021
2021-08-26,338.41999999999996,336.0,339.0,333.0,5130.0,U_2021,U_2021
2021-08-27,341.96000000000004,340.0,345.0,340.0,1600.0,U_2021,U_2021
2021-08-30,350.52,349.38,354.0,348.5,1956.0,U_2021,U_2021
2021-08-31,354.22,348.5,350.5,346.5,2302.0,U_2021,U_2021
2021-09-01,358.78,363.0,366.4,354.0,3252.0,V_2021,V_2021
2021-09-02,365.34000000000003,358.0,366.3,355.1,3400.0,V_2021,V_2021
2021-09-03,365.82,368.0,370.0,364.0,2200.0,V_2021,V_2021
2021-09-06,369.0,373.0,375.6,366.0,2540.0,V_2021,V_2021
2021-09-07,373.82,368.0,375.0,366.1,3200.0,V_2021,V_2021
2021-09-08,377.02,379.0,379.0,373.0,3090.0,V_2021,V_2021
2021-09-09,383.14,379.98,384.0,377.5,2798.0,V_2021,V_2021
2021-09-10,387.8,381.4,389.3,378.5,2766.0,V_2021,V_2021
2021-09-13,405.98,388.12,407.5,388.12,4704.0,V_2021,V_2021
2021-09-14,423.4,406.0,431.98,406.0,4092.0,V_2021,V_2021
2021-09-15,460.1,440.0,478.0,422.0,6626.0,V_2021,V_2021
2021-09-16,416.0,430.0,443.0,409.5,6336.0,V_2021,V_2021
2021-09-17,417.38,414.0,423.1,408.0,3204.0,V_2021,V_2021
2021-09-20,445.1,436.0,451.5,430.0,3696.0,V_2021,V_2021
2021-09-21,433.92,454.2,459.0,426.5,4180.0,V_2021,V_2021
2021-09-22,420.14,424.0,424.0,416.0,5888.0,V_2021,V_2021
2021-09-23,418.78,420.0,424.0,411.0,3612.0,V_2021,V_2021
2021-09-24,416.52,413.0,419.9,404.6,3102.0,V_2021,V_2021
